福 建（918座）



序号    宫观名称                                地址                              派别
356 莆田涵江鲤江庙 福建省莆田市涵江区监前95号 正一

357 莆田福莆仙东岳观 福建省莆田市涵江区江口镇锦江东路85号 正一

358 莆田梧塘九莲岩 福建省莆田市涵江区梧塘镇九峰村 正一

359 莆田延宁东阁亭 福建省莆田市涵江区涵西街道延宁社区 正一

360 莆田宫口天仙府 福建省莆田市涵江区涵西街道涵西社区宫口 正一

361 莆田保尾正极殿 福建省莆田市涵江区涵西街道保尾北一巷保尾 正一

362 莆田保尾太师府 福建省莆田市涵江区涵西街道保尾南宫口路6 正一

363 莆田保尾缓麟宫 福建省莆田市涵江区涵西街道保尾南宫口路6 正一

364 莆田萩芦灵慈宫 福建省莆田市涵江区萩芦镇洪南村 正一

365 莆田涵西楼下龙楼宫 福建省莆田市涵江区涵西街道楼下田尾1号 正一

366 莆田涵西大巷里北极殿 福建省莆田市涵江区涵西街道大巷里 正一

367 莆田涵西南庄宫 福建省莆田市涵江区涵西街道保尾社区苍头社 正一

368 莆田涵西苍林麒麟宗宫 福建省莆田市涵江区涵西街道苍林社区苍口宫 正一

369 莆田顶铺莲华宫 福建省莆田市涵江区涵东办顶铺街 正一

370 莆田塘西福安宫 福建省莆田市涵江区国欢镇塘西村 正一

